_id,created_at_datetime,text,in_reply_to_status_id,in_reply_to_user_id,lang,user,cleaned_text,conv_starter
1131173625258815488,2019-05-22 12:23:03,@Pelusitaaaa1 Hoi!  Enkel KLM/Air France-vluchten of vluchten met partners onder een KL vluchtnummer kunnen aan de KLM App worden toegevoegd.,1.1311713636733174e+18,3110268790.0,nl,56377143,@pelusitaaaa1 hoi! enkel klmair francevluchten of vluchten met partners onder een kl vluchtnummer kunnen aan de klm app worden toegevoegd,1131173625258815488
1131183043241230337,2019-05-22 13:00:28,@KLM dat is jammer! ik verdien wel XP toch op AlItalia vluchten als FB lid?,1.1311736252588155e+18,56377143.0,nl,3110268790,@klm dat is jammer! ik verdien wel xp toch op alitalia vluchten als fb lid?,1131173625258815488
1131185259289206785,2019-05-22 13:09:16,@Pelusitaaaa1 We helpen je graag. Kan je ons een DM sturen zodat we je daar om meer gegevens kunnen vragen?,1.1311830432412303e+18,3110268790.0,nl,56377143,@pelusitaaaa1 we helpen je graag kan je ons een dm sturen zodat we je daar om meer gegevens kunnen vragen?,1131173625258815488
1131182474380423168,2019-05-22 12:58:12,Forcibly took my daughter's bag from her to check.  Can I track it online?@KLM,,,en,1604219274,forcibly took my daughters bag from her to check can i track it online?@klm,1131182474380423168
1131187978771025921,2019-05-22 13:20:05,"@addblackman We understand that you would prefer to have your baggage with you on board. Our colleagues at the airport may request that your hand baggage will be transported in the hold, due to the available space and the amount of hand baggage on board, for example.&gt;&gt;&gt;",1.1311824743804232e+18,1604219274.0,en,56377143,@addblackman we understand that you would prefer to have your baggage with you on board our colleagues at the airport may request that your hand baggage will be transported in the hold due to the available space and the amount of hand baggage on board for examplegtgtgt,1131182474380423168
1131188089328734209,2019-05-22 13:20:31,"@addblackman We do understand that some passengers do not like this, so we usually look for volunteers first. In case we have no (sufficient) volunteers, it is possible that passengers travelling with large bags (which do not fit under the seats) are designated.&gt;&gt;&gt;",1.1311824743804232e+18,1604219274.0,en,56377143,@addblackman we do understand that some passengers do not like this so we usually look for volunteers first in case we have no sufficient volunteers it is possible that passengers travelling with large bags which do not fit under the seats are designatedgtgtgt,1131182474380423168
1131188303821180928,2019-05-22 13:21:22,"@addblackman Keys, medicines or your laptop may always be taken from this baggage to be carried with you. On our website you can find more information about the check in of hand luggage: https://t.co/chXrkC5PV4. Furthermore, please know that you cannot track your check-in baggage online.&lt;&lt;&lt;",1.1311824743804232e+18,1604219274.0,en,56377143,@addblackman keys medicines or your laptop may always be taken from this baggage to be carried with you on our website you can find more information about the check in of hand luggage furthermore please know that you cannot track your checkin baggage onlineltltlt,1131182474380423168
1131183080474124288,2019-05-22 13:00:37,@KLM @KLM_MX estuve tooooda la tarde y noche de ayer en eso y no resuelven absolutamente nada!,1.1310242722505605e+18,56377143.0,es,879493539012296704,@klm @klm_mx estuve tooooda la tarde y noche de ayer en eso y no resuelven absolutamente nada!,1131183080474124288
1131188028528107521,2019-05-22 13:20:17,@CarlosMosig Con el fin de evitar errores nosotros volvemos a redirigirte al centro de llamadas local debido a que ha sido por esa via donde se han hecho las ultimas modificaciones en tu pasaje.,1.1311830804741243e+18,8.794935390122967e+17,es,56377143,@carlosmosig con el fin de evitar errores nosotros volvemos a redirigirte al centro de llamadas local debido a que ha sido por esa via donde se han hecho las ultimas modificaciones en tu pasaje,1131183080474124288
1131214113361879040,2019-05-22 15:03:56,"@KLM @KLM_MX como sea, el chiste es que hice el pago con el link que me dieron en whatsapp y tambien hice el pago con su servicio por telefono, ambos movimientos validados y confirmados por mi banco... es decir, me cobraron doble y no son capaces de confirmar mi pase por ninguna via",1.1311880285281075e+18,56377143.0,es,879493539012296704,@klm @klm_mx como sea el chiste es que hice el pago con el link que me dieron en whatsapp y tambien hice el pago con su servicio por telefono ambos movimientos validados y confirmados por mi banco es decir me cobraron doble y no son capaces de confirmar mi pase por ninguna via,1131183080474124288
1131185677230575618,2019-05-22 13:10:56,"Beste @KLM, ik heb gister op vlucht    KL 0645 van Amsterdam naar New York mijn jas laten liggen in het bagagevak boven rij 30 (met mijn huissleutel in de zak). Is er een manier om mijn jas terug te krijgen? Kan deze opgestuurd worden? Bij voorbaat dank",,,nl,824207173425262593,beste @klm ik heb gister op vlucht kl 0645 van amsterdam naar new york mijn jas laten liggen in het bagagevak boven rij 30 met mijn huissleutel in de zak is er een manier om mijn jas terug te krijgen? kan deze opgestuurd worden? bij voorbaat dank,1131185677230575618
1131188287803142145,2019-05-22 13:21:18,"@Amber_vanderWal Hoi Amber, we adviseren je om contact op te nemen met de Lost&amp;Found afdeling van het vliegveld van aankomst. We hopen dat je het snel terugvindt!",1.1311856772305756e+18,8.242071734252626e+17,nl,56377143,@amber_vanderwal hoi amber we adviseren je om contact op te nemen met de lostampfound afdeling van het vliegveld van aankomst we hopen dat je het snel terugvindt!,1131185677230575618
1131190988561629194,2019-05-22 13:32:02,"@KLM Dat hoop ik zelf ook, uw antwoord helpt daar overigens niet bij. Op JFK wordt dit door KLM zelf afgehandeld en wordt naar KLM verwezen. De Amerikaanse klantenservice adviseert om terug te gaan naar het vliegveld maar dat is helaas geen optie omdat we doorgereisd zijn. Kan...",1.1311882878031421e+18,56377143.0,nl,824207173425262593,@klm dat hoop ik zelf ook uw antwoord helpt daar overigens niet bij op jfk wordt dit door klm zelf afgehandeld en wordt naar klm verwezen de amerikaanse klantenservice adviseert om terug te gaan naar het vliegveld maar dat is helaas geen optie omdat we doorgereisd zijn kan,1131185677230575618
1131191297312722944,2019-05-22 13:33:16,@KLM De jas bewaard worden op JFK of teruggestuurd worden naar Schiphol? Wij kunnen zelf geen contact opnemen met KLM op JFK maar u misschien wel. Alvast bedankt.,1.1311882878031421e+18,56377143.0,nl,824207173425262593,@klm de jas bewaard worden op jfk of teruggestuurd worden naar schiphol? wij kunnen zelf geen contact opnemen met klm op jfk maar u misschien wel alvast bedankt,1131185677230575618
1131194488603463680,2019-05-22 13:45:57,"@Amber_vanderWal We gaan dit voor je navragen, kun je  een omschrijving van de jas geven.",1.131191297312723e+18,8.242071734252626e+17,nl,56377143,@amber_vanderwal we gaan dit voor je navragen kun je een omschrijving van de jas geven,1131185677230575618
